ms_played,frequency,release_date,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,popularity
99933,6.0,1978,0.0429,0.436,0.939,9.0,0.000733,0.219,-6.682,1.0,0.0615,0.624,164.814,4.0,44.0
174000,16.0,2019,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,0.557,95.39,4.0,90.0
211506,12.0,2017,0.0604,0.624,0.691,0.0,1.1e-05,0.138,-6.686,0.0,0.196,0.284,160.024,4.0,71.0
209026,35.0,1982,0.325,0.822,0.335,1.0,0.000957,0.201,-12.71,0.0,0.127,0.9,73.77,4.0,44.0
139133,6.0,2021,0.0732,0.772,0.503,11.0,0.0,0.0785,-7.603,0.0,0.0873,0.496,138.046,4.0,55.0
192315,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
223182,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
64377,88.0,2018,0.0319,0.556,0.671,11.0,0.000377,0.111,-6.366,0.0,0.0647,0.252,105.057,4.0,51.0
164720,20.0,2020,0.138,0.68,0.701,5.0,0.000191,0.168,-5.001,1.0,0.0917,0.649,94.06,4.0,64.0
58560,6.0,2016,0.0392,0.662,0.705,1.0,2.38e-06,0.105,-6.56,0.0,0.0399,0.865,159.996,4.0,61.0
328310,7.0,2010,0.00557,0.739,0.611,11.0,0.725,0.04,-9.829,1.0,0.0622,0.794,98.004,4.0,62.0
150819,50.0,2020,0.00248,0.714,0.798,5.0,0.000678,0.103,-4.239,0.0,0.0612,0.659,119.017,4.0,63.0
166687,79.0,2020,0.0451,0.729,0.619,5.0,0.0,0.0953,-6.155,0.0,0.0346,0.623,123.061,4.0,56.0
216045,32.0,2020,0.00964,0.51,0.748,2.0,0.00163,0.161,-5.955,1.0,0.0776,0.327,164.982,3.0,40.0
193961,24.0,2019,0.00342,0.633,0.766,4.0,1.21e-06,0.624,-5.165,0.0,0.191,0.743,103.965,4.0,53.0
192315,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
208760,31.0,2013,0.0807,0.636,0.676,2.0,0.0,0.0831,-3.442,1.0,0.0263,0.273,113.98,4.0,79.0
227203,27.0,2021,0.717,0.197,0.406,2.0,0.000362,0.293,-10.904,1.0,0.0619,0.251,90.053,4.0,63.0
110128,64.0,2019,0.21,0.448,0.838,4.0,0.000131,0.131,-5.257,0.0,0.0557,0.254,139.863,4.0,83.0
59860,4.0,2020,0.0311,0.514,0.659,7.0,0.0,0.131,-5.509,1.0,0.0379,0.619,116.996,3.0,36.0
206400,11.0,2020,0.854,0.289,0.307,4.0,0.275,0.255,-16.036,1.0,0.0452,0.0477,96.516,4.0,59.0
246755,36.0,2013,0.606,0.733,0.62,1.0,0.305,0.117,-10.525,1.0,0.075,0.247,111.039,4.0,71.0
